 Georgia,,,,,0.5,,0.4,,0.7,,0.7,,1.1,,0.9,,0.8
 Germany,0.1,,0,,0.1,,0.1,,0.1,,0.1,,0.1,,0.1,,0
 Ghana,5,,11.5,,10,,11.2,,10.4,,15.3,,16.1,,14.5,,17.5
 Greece,0.1,,0,,0,,0.1,,0.1,,0.2,,0.1,,0.1,,
 Guatemala,3.7,,3.6,,2.4,,2,,4.9,,4.2,,3.4,,3.4,,4.6
 Guinea,14.7,,12.1,,9.7,,18.5,,21.3,,25.3,,24.1,,21.1,,19.2
 Guinea-Bissau,0,,2.8,,4.1,,7,,10.1,,8.9,,12.1,,12.8,,12.3
 Guyana,5.9,,2,,2.2,,2.2,,8,,12.1,,14.2,,11.7,,10.8
 Haiti,,,,,,,1.4,,2.9,,2.1,,1.9,,2,,3.1
 Honduras,4.2,,4,,1.9,,1.8,,3.8,,4.7,,2.7,,3,,4.4
 Hungary,,,0.7,,0.8,,0.7,,0.5,,0.5,,0.5,,0.4,,0.3
 Iceland,,,,,,,,,,,0,,0,,0,,
 India,3.6,,3.1,,2.8,,2.9,,4.1,,4.1,,3.3,,3,,2.9
 Indonesia,8.2,,4.3,,9.6,,10,,4.8,,5.2,,3.9,,3.6,,2.6
 Iran (Islamic Republic of),9.2,,10,,17.2,,20.2,,13.2,,13.6,,11.7,,12.6,,
 Iraq,4,,,,,,30,,19.1,,21.6,,20.1,,18.6,,18.5
 Ireland,0.3,,0.2,,0.1,,0,,0.1,,0.1,,0.1,,0.1,,0.1
 Israel,0,,0,,0,,0.2,,0.1,,0.2,,0.2,,0.3,,0.2
 Italy,0.1,,0.1,,0.2,,0.2,,0.1,,0.2,,0.2,,0.1,,0.1
 Jamaica,3.7,,1.6,,1,,1,,0.9,,0.9,,0.7,,0.8,,1
 Japan,0,,0,,0,,0,,0,,0,,0,,0,,0
 Jordan,0.2,,0.2,,0.3,,0.3,,0.8,,1.6,,1.2,,0.7,,0.5
 Kazakhstan,,,9.5,,31.1,,36.3,,19.7,,21.4,,18.2,,15.4,,13.7
 Kenya,5.1,,7.5,,3.3,,4,,3,,3.3,,3.3,,3.1,,2.8
 Kiribati,0,,0,,0,,0,,0,,0,,0,,0,,0
 Korea (Republic of),0,,0,,0,,0,,0,,0,,0,,0,,0
 Kuwait,11.8,,15.9,,19.6,,24.9,,22,,25.4,,24.6,,23.5,,22.3
 Kyrgyzstan,,,,,0.7,,2.1,,9,,10.5,,5.6,,7.3,,6.1
 Lao People's Democratic Republic,5.9,,8,,4,,5,,11.5,,13.4,,12,,10.7,,12.2
 Latvia,,,,,2,,1,,1.1,,0.9,,1.1,,0.7,,1
 Lebanon,0,,0,,0,,0,,0,,0,,0,,0,,0
 Lesotho,2.5,,3.3,,3,,3,,3.3,,3.1,,4,,4.1,,4.6
 Liberia,,,,,0.5,,2.9,,26.5,,24.1,,28.4,,26.7,,27.4
 Libya,,,,,,,30.4,,26,,22.2,,26.9,,22.3,,16.2
 Lithuania,,,0.7,,0.6,,0.4,,0.4,,0.4,,0.3,,0.3,,0.4
 Luxembourg,,,,,0,,0,,0,,0.1,,0.1,,0,,0
 Madagascar,0,,0,,0,,1.1,,2.4,,2.6,,3.1,,3.5,,4.3
 Malawi,7.5,,16,,8.6,,7.4,,6.2,,6.6,,10.2,,11.6,,10.8
 Malaysia,11.3,,4.9,,7.4,,12.2,,7.7,,7.5,,6.9,,6.8,,5.5
 Maldives,0.1,,0.1,,0,,0,,0.1,,0.1,,0,,0,,0.1
 Mali,0.3,,1.7,,1.9,,3.6,,10.7,,12.6,,15.9,,13,,10.6
 Mauritania,5.9,,3.6,,5.9,,11.9,,25.9,,26.2,,24.8,,26.3,,20.7
 Mauritius,0,,0,,0,,0,,0,,0,,0,,0,,0
 Mexico,4,,2.3,,3.4,,7.2,,6.2,,7.4,,7.1,,6.3,,5
 Micronesia (Federated States of),,,0,,0,,0,,0,,0,,0,,0,,0.1
 Moldova (Republic of),,,0.5,,0.4,,0.2,,0.1,,0.2,,0.2,,0.3,,0.4
 Mongolia,4.8,,8.5,,3.5,,9.7,,18.8,,21.5,,15.4,,11.5,,12.2
 Morocco,0.2,,0.1,,0.3,,0.2,,1.2,,2,,2,,1.4,,1
 Mozambique,0,,0,,0,,3.4,,2.6,,2.6,,2.9,,2.8,,1.8
 Myanmar,,,,,,,,,,,,,2.8,,3.8,,3.9
 Namibia,4.7,,0.5,,0.1,,0.5,,1.4,,1.5,,1.3,,1,,1.2
 Nepal,8.4,,6.7,,5.5,,3.7,,6.5,,5.5,,4.7,,4,,5.8
 Netherlands,0.9,,0.6,,1.2,,1.7,,0.9,,0.8,,0.7,,0.8,,0.4
 New Zealand,0.9,,0.6,,1.8,,1.1,,1.7,,1.6,,1.3,,1.1,,0.9
 Nicaragua,10.2,,3.9,,2.3,,2,,6.6,,5.6,,5.4,,5.7,,7.4
 Niger,3.8,,9.7,,7.9,,8.2,,8.9,,11.5,,14.5,,15,,13.7
 Nigeria,32.7,,27.8,,29.1,,26.5,,10.1,,11.6,,9.9,,8.1,,6.6
 Norway,7.3,,7.8,,15.7,,16.4,,10.4,,11,,9.6,,8.5,,7.1
 Oman,30.6,,23.2,,33.9,,37.1,,33.4,,39.6,,35.9,,34.9,,
 Pakistan,2.9,,2,,3.4,,6.8,,4.3,,4,,3.5,,3.3,,2.7
 Panama,0,,0,,0,,0,,0.1,,0.2,,0.2,,0.1,,0.1
 Papua New Guinea,14.4,,24.8,,24.5,,27.4,,30,,26.7,,18.7,,17.4,,15
 Paraguay,,,7.8,,4.6,,5.9,,7.2,,4.7,,5,,4.5,,5.3
 Peru,5.7,,1.6,,1.4,,4.1,,7.4,,8.8,,7.1,,5.5,,4.8
 Philippines,1.3,,0.8,,0.3,,0.9,,2,,3,,1.9,,1.6,,1.7
 Poland,,,0.4,,0.5,,0.8,,0.9,,1.1,,0.9,,0.8,,0.7
 Portugal,0.1,,0,,0,,0,,0.1,,0.1,,0.1,,0.1,,0.1
 Qatar,24.8,,22.1,,,,33.7,,21.6,,22.8,,19.1,,17.8,,13.8
 Romania,5.7,,3.2,,4.4,,2.8,,1.2,,1.8,,1.6,,1.4,,1
 Russian Federation,,,6.3,,19.6,,20.6,,12.4,,13.2,,11.6,,10.9,,9.5
 Rwanda,4.4,,11.7,,5.6,,6.3,,6,,6,,6,,5.9,,5.7
 Saint Lucia,0.1,,0.1,,0,,0,,0.1,,0.1,,0,,0.1,,0.1
 Saint Vincent and the Grenadines,0.1,,0.1,,0.1,,0,,0.1,,0.1,,0.1,,0.1,,0.1
 Samoa,,,,,0.7,,0.5,,0.6,,0.7,,0.7,,0.6,,0.8
 Sao Tome and Principe,,,,,,,1.8,,2,,1.8,,1.9,,1.7,,1.6
 Saudi Arabia,18.3,,14.9,,20.2,,25.5,,20.7,,22.7,,21.4,,20.4,,
 Senegal,0,,0,,0.1,,0,,1,,1.4,,2.3,,1.4,,1.1
 Seychelles,0.1,,0.1,,0.1,,0.1,,0.2,,0.2,,0.2,,0.1,,0.1
 Sierra Leone,17.8,,15.7,,13.8,,9.5,,9.4,,9.2,,9.3,,7.3,,7.7
 Singapore,0,,0,,0,,0,,0,,0,,0,,0,,0
 Slovakia,,,0.9,,0.8,,0.5,,0.6,,0.6,,0.5,,0.5,,0.5
 Slovenia,,,0.3,,0.3,,0.2,,0.3,,0.4,,0.3,,0.3,,0.5
 Solomon Islands,0.5,,7,,1.9,,11.3,,32.7,,37.5,,32.5,,29.7,,36
 Somalia,,,,,,,,,,,,,,,8.9,,8.6
 South Africa,1.5,,0.7,,0.7,,2.4,,4.1,,4.7,,4,,3.9,,3.1
 Spain,0.1,,0,,0,,0,,0,,0,,0,,0,,0
 Sri Lanka,1.5,,1.5,,0.6,,0.4,,0.6,,0.5,,0.5,,0.4,,0.5
 Sudan,,,,,,,,,,,,,5.7,,4.5,,3.6
 Suriname,13,,4.5,,8.2,,7.3,,11.6,,16.6,,15,,11.8,,9.8
 Swaziland,3.6,,2.8,,1.1,,1,,1.6,,1.4,,1.4,,1.4,,1.4
 Sweden,0.1,,0,,0,,0.1,,0.3,,0.3,,0.3,,0.3,,0.2
 Switzerland,0.1,,0,,0.1,,0,,0,,0,,0,,0,,0
