 Côte d'Ivoire,1,,2,,3,,,,,,4,,5,,6,,7,,
 Denmark,96,,81,,91,,95,,100,,100,,102,,97,,96,,
 Djibouti,1,,1,,1,,,,,,5,,4,,,,,,5
 Dominica,75,,,,71,,98,,105,,102,,95,,99,,85,,
 Dominican Republic,,,24,,34,,32,,38,,37,,39,,42,,44,,
 Ecuador,43,,48,,64,,76,,136,,146,,155,,56,,62,,
 Egypt,5,,7,,11,,17,,28,,25,,24,,25,,30,,
 El Salvador,,,31,,46,,60,,66,,66,,67,,69,,72,,
 Equatorial Guinea,,,,,26,,35,,,,70,,68,,,,,,
 Eritrea,,,4,,6,,14,,15,,16,,16,,15,,,,
 Estonia,91,,65,,92,,119,,87,,87,,88,,,,,,
 Ethiopia,2,,1,,2,,2,,4,,5,,18,,,,25,,
 Fiji,13,,12,,11,,,,,,,,,,,,,,
 Finland,34,,38,,49,,60,,68,,70,,70,,81,,80,,
 France,108,,113,,112,,117,,109,,109,,108,,108,,109,,
 Gabon,,,,,,,,,,,37,,,,,,,,
 Gambia,,,,,,,,,29,,,,,,31,,34,,
 Georgia,,,26,,38,,57,,,,,,,,,,,,
 Germany,,,84,,99,,97,,114,,115,,116,,110,,111,,
 Ghana,36,,,,51,,63,,,,112,,113,,115,,115,,121
 Greece,56,,61,,69,,67,,74,,77,,76,,76,,,,
 Grenada,,,68,,,,87,,99,,,,,,94,,91,,
 Guatemala,,,34,,50,,58,,70,,68,,63,,64,,66,,
 Guinea,,,,,,,9,,12,,15,,,,,,,,
 Guinea-Bissau,,,,,3,,,,6,,,,,,,,,,
 Guyana,,,88,,96,,85,,77,,85,,94,,,,,,
 Honduras,12,,14,,22,,34,,47,,48,,47,,47,,47,,
" Hong Kong, China (SAR)",79,,82,,,,93,,107,,109,,,,,,,,
 Hungary,85,,79,,80,,87,,85,,87,,87,,87,,84,,
 Iceland,100,,,,87,,96,,97,,97,,97,,,,,,
 India,3,,4,,,,6,,7,,8,,8,,10,,,,
