 Italy,1.3,,1,,0.9,,0.9,,0.9,,0.8,,0.8,
 Jamaica,34.1,,,,52.8,,41.2,,39.8,,43.3,,36.1,
 Japan,,,0.5,,0.4,,0.3,,0.3,,0.3,,0.3,
 Jordan,,,1.3, b,1.8, b,2.1, b,2.3, b,,,,
 Kazakhstan,15.5, b,11.7, b,9.5, b,9.6, b,8.7, b,7.4, b,,
 Kenya,,,3.6,,5.6,,6.4,,6.5,,6.6,,5.9,
 Kiribati,,,,,3.9,,10.5,,7.5,,,,,
 Korea (Democratic People's Rep. of),,,,,,,,,4.7,,,,,
 Korea (Republic of),,,,,,,0.9,,0.8,,0.7,,0.7,
 Kuwait,,,,,2,,1.8,,1.8,,,,,
 Kyrgyzstan,8.7,,8.2,,19.6,,8.9,,5.3,,3.6,,3.7,
 Lao People's Democratic Republic,,,,,,,,,7.3,,,,,
 Latvia,10,,5.7,,3.3,,3.3,,4.8,,3.4,,3.9,
 Lebanon,,,,,3.8,,3.7,,3.9,,4.5,,4.3,
 Lesotho,,,,,38,,,,,,,,,
 Liberia,,,,,3.3,,3.9,,3.2,,,,,
 Libya,,,,,,,,,2.5,,,,,
 Liechtenstein,0,,0,,2.8,,0,,,,0,,2.7,
 Lithuania,,,11.1,,7,,6.9,,6.7,,6.7,,5.5,
 Luxembourg,,,,,2,,0.8,,0,,0.2,,0.7,
 Madagascar,,,1.8,,0.6,,,,,,,,,
 Malawi,6.3,,1.6,,3.5,,2.3,,1.8,,,,,
 Malaysia,,,2.3,,1.9,,,,,,,,,
 Maldives,,,,,1.8,,0.9,,2.9,,0.9,,,
 Mali,,,,,,,,,10.2,,,,,
 Malta,1,,1,,0.1,,0.7,,2.9,,1.7,,1.4,
 Marshall Islands,,,,,,,,,4.7,,,,,
 Mauritania,,,,,,,,,11.4,,,,,
 Mauritius,,,,,2.6,,2.7,,,,,,,
 Mexico,10.4,,9,,21.7,,22.6,,21.3,,18.6,,15.7,
 Micronesia (Federated States of),,,,,,,,,4.8,,,,,
 Moldova (Republic of),10.3,,7.1,,6.5,,7.5,,5.6,,4.1,,3.2,
 Monaco,,,3,,,,,,,,,,,
 Mongolia,,,15.8,,8.8,,9.6,,7.1,,7.3,,7.5,
 Montenegro,,,,,2.4,,3.4,,2.7,,1.6,,3.2,
 Morocco,1.6,,1.5,,1.4,,1.4,,1.2,,1.3,,1,
 Mozambique,,,5.2,,3.6,,,,,,,,,
 Myanmar,,,1.5,,1.7,,2.4,,2.5,,,,,
 Namibia,20,,,,14.3,,13.7,,16.9,,,,,
 Nauru,,,,,,,,,1.3,,,,,
 Nepal,2.7,,3.6,,3,,2.9,,,,,,,
 Netherlands,1.1,,1.1,,0.9,,0.9,,0.9,,0.7,,,
 New Zealand,1.3,,1.5,,0.1,,0.9,,0.9,,1,,0.9,
 Nicaragua,9.5,,13.6,,13.7,,12.7,,11.5,,,,,
 Niger,,,,,,,4.9,,4.5,,,,,
 Nigeria,,,,,,,,,10.1,,,,,
 Norway,1.1,,0.7,,0.6,,2.2,,0.5,,0.9,,0.6,
 Oman,,,,,,,1.1,,,,,,,
 Pakistan,6.4,,6.3,,7.8,,8,,7.8,,,,,
 Palau,,,,,,,,,3.1,,,,,
" Palestine, State of",,,4.1,,0.7,,0.6,,0.6,,,,,
 Panama,9.9,,11,,21,,20.6,,17.5,,17.4,,,
 Papua New Guinea,8.7,,9.9,,10.4,,,,,,,,,
 Paraguay,18.8,,18.6,,11.9,,10.4,,10.2,,9.3,,8.8,
 Peru,5,,11.1,,9.2,,9.6,,9.5,,6.6,,6.7,
 Philippines,7.4, c,7.5, c,9.6, c,9.2, c,8.8, c,9.4, c,9.9, c
 Poland,2.2,,1.4,,1.1,,1.2,,0.1,,0.8,,0.7,
 Portugal,1.1,,1.3,,1.2,,1.1,,1.2,,1.4,,0.9,
 Qatar,,,,,,,,,7.2,,,,,
 Romania,2.5,,2.1,,2,,1.7,,1.9,,1.7,,1.5,
 Russian Federation,,,,,10.2,,9.7,,9.2,,8.9,,9.5,
